ID_Couple	e1	e2	Expert	Catégories	CombMNZ	Empirique	Régression logistique	Régression par arbres 	Regression Par Clustering
67	56	57	1	2	1	1	0,9767865216	1	0,8428628674
68	63	64	1	2	1	1	0,9720589541	1	0,7691300211
69	65	64	1	2	0,9844444444	0,9797777778	0,9668977447	1	0,7691300211
70	45	46	1	2	1	1	0,9720589541	1	0,6995234164
71	66	67	1	2	1	1	0,9767865216	1	0,7225490548
72	23	24	1	2	1	1	0,9767865216	1	0,9044855386
73	79	80	1	2	0,9330127019	0,9196152423	0,951968147	1	0,6654578134
74	81	82	1	2	1	1	0,9720589541	1	0,6480797398
75	96	98	1	3	0,3857583749	0,4629100499	0,7521452875	0,0882352941	0,9777500944
76	1	2	1	3	0,8429867754	0,8187269876	0,8030216546	0,7727272727	0,9465311479
77	3	4	1	3	1	1	0,9499830998	1	1
78	3	5	1	3	0,6428571429	0,7142857143	0,9691589327	1	0,8802838765
79	4	5	1	3	0,6428571429	0,7142857143	0,9691589327	1	0,8802838765
80	13	14	1	3	1	1	0,9499830998	1	1
81	30	31	1	3	0,9166666667	0,9333333333	0,9552792523	1	0,9956068866
82	32	33	1	3	0,6916666667	0,7533333333	0,9670344179	1	0,8788163728
83	38	39	1	3	0,8967431114	0,8760917336	0,8561386968	1	0,9960119737
84	122	123	1	3	0,5872983346	0,6247580015	0,8909393028	1	0,9476657826
85	71	72	1	3	0,8535533906	0,8242640687	0,7855276761	0,7727272727	0,9553099803
86	76	77	1	3	1	1	0,9499830998	1	1
87	76	78	1	3	1	1	0,9499830998	1	1
88	77	78	1	3	1	1	0,9499830998	1	1
89	86	87	1	3	1	1	0,9499830998	1	1
90	46	47	1	4	1	1	0,9610586096	1	0,4062348322
91	54	55	1	4	1	1	0,9610586096	1	0,3705157942
92	155	156	1	4	1	1	0,9610586096	1	0,5207023154
93	147	148	1	4	1	1	0,9610586096	1	0,3403266785
94	150	151	1	4	1	1	0,9610586096	1	0,3852250444
95	152	153	1	4	1	1	0,9610586096	1	0,507001395
96	87	88	1	5	1	1	0,9176264411	0,9166666667	0,7922806773
97	11	12	1	5	1	1	0,9176264411	0,9166666667	0,4739148436
